Renter_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,1,BHK,Independent Floor,Limat,"6,750",450,Unfurnished,1
OWNER,2,BHK,Apartment,Limat,"18,000",916,Unfurnished,2
OWNER,3,BHK,Apartment,Limat,"16,500",1085,Semi-Furnished,3
OWNER,1,RK,Studio Apartment,Limat,"8,000",250,Furnished,1
OWNER,2,BHK,Apartment,Limat,"25,000",1005,Semi-Furnished,2
OWNER,1,BHK,Apartment,Limat,"11,000",600,Semi-Furnished,1
OWNER,2,BHK,Apartment,Limat,"17,000",900,Semi-Furnished,2
OWNER,2,BHK,Apartment,Limat,"13,500",900,Furnished,3
OWNER,1,RK,Studio Apartment,Limat,"3,500",200,Furnished,1
OWNER,1,BHK,Apartment,Limat,"12,000",1000,Semi-Furnished,1
OWNER,2,BHK,Apartment,Limat,"12,000",850,Semi-Furnished,2
OWNER,1,BHK,Independent Floor,Limat,"6,500",500,Unfurnished,1
OWNER,3,BHK,Independent Floor,Limat,"20,000",1210,Furnished,2
OWNER,1,BHK,Apartment,Limat,"8,000",500,Unfurnished,1
OWNER,2,BHK,Independent Floor,Limat,"18,000",950,Semi-Furnished,
OWNER,3,BHK,Apartment,Limat,"9,500",1278,Semi-Furnished,2
OWNER,1,BHK,Independent Floor,Limat,"6,500",750,Unfurnished,1
OWNER,1,RK,Studio Apartment,Limat,"8,000",315,Semi-Furnished,1
OWNER,2,BHK,Villa,Limat,"45,000",1200,Furnished,3
OWNER,3,BHK,Apartment,Limat,"35,000",1275,Furnished,3
OWNER,2,BHK,Apartment,Limat,"17,000",1000,Unfurnished,2
OWNER,1,BHK,Apartment,Limat,"7,500",520,Semi-Furnished,1
OWNER,2,BHK,Apartment,Limat,"30,000",929,Unfurnished,2
OWNER,2,BHK,Apartment,Limat,"15,000",660,Furnished,2
OWNER,1,BHK,Apartment,Limat,"14,000",600,Unfurnished,1
OWNER,1,BHK,Independent House,Limat,"9,000",650,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"13,000",650,Semi-Furnished,1
OWNER,1,BHK,Independent House,Limat,"8,000",650,Unfurnished,1
OWNER,1,RK,Studio Apartment,Limat,"4,000",350,Unfurnished,1
OWNER,2,BHK,Apartment,Limat,"24,000",1080,Furnished,2
OWNER,1,RK,Studio Apartment,Limat,"12,000",350,Semi-Furnished,1
OWNER,2,BHK,Apartment,Limat,"9,000",675,Semi-Furnished,1
OWNER,2,BHK,Apartment,Limat,"17,400",1100,Semi-Furnished,2
OWNER,2,BHK,Apartment,Limat,"18,000",1000,Furnished,2
OWNER,1,BHK,Apartment,Limat,"10,000",700,Semi-Furnished,
OWNER,2,BHK,Apartment,Limat,"18,500",1026,Semi-Furnished,2
OWNER,1,BHK,Apartment,Limat,"9,500",650,Unfurnished,1
OWNER,1,BHK,Independent House,Limat,"16,500",630,Semi-Furnished,1
OWNER,1,BHK,Independent House,Limat,"8,000",550,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"6,800",450,Unfurnished,1
OWNER,2,BHK,Apartment,Limat,"10,000",900,Semi-Furnished,2
OWNER,1,RK,Studio Apartment,Limat,"4,500",350,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"11,000",620,Semi-Furnished,1
OWNER,2,BHK,Apartment,Limat,"12,000",900,Unfurnished,2
OWNER,1,BHK,Apartment,Limat,"8,100",610,Unfurnished,1
OWNER,2,BHK,Apartment,Limat,"20,000",1100,Semi-Furnished,2
OWNER,1,BHK,Independent House,Limat,"9,500",630,Semi-Furnished,1
OWNER,2,BHK,Apartment,Limat,"19,000",1000,Semi-Furnished,2
OWNER,1,BHK,Apartment,Limat,"6,000",550,Semi-Furnished,1
OWNER,2,BHK,Independent House,Limat,"35,000",1200,Unfurnished,2
OWNER,1,BHK,Apartment,Limat,"9,000",500,Unfurnished,2
OWNER,1,BHK,Apartment,Limat,"12,500",450,Unfurnished,1
OWNER,1,BHK,Apartment,Limat,"9,500",620,Unfurnished,1
OWNER,2,BHK,Apartment,Limat,"17,000",851,Semi-Furnished,2
OWNER,3,BHK,Apartment,Limat,"16,000",1080,Semi-Furnished,3
